GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jFold,info.mikethomas.jfold,ClientConnection.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
jFold,info.mikethomas.jfold,ClientConnection.new ArrayList() {...},0,19,0,0,0,4,0,1,0,1
jFold,info.mikethomas.jfold,SocketConnection,157,16,12,1,32,5,9,3,2,3
jFold,info.mikethomas.jfold,ClientConnection.new ArrayList() {...},22,0,0,0,4,0,1,0,1,0
jFold,info.mikethomas.jfold,ClientConnection.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
jFold,info.mikethomas.jfold,ClientConnection,269,89,2,2,60,16,34,7,32,7
jFold,info.mikethomas.jfold.slot,SlotOptions,0,75,0,0,0,16,0,16,0,16
jFold,info.mikethomas.jfold.slot,Slot,21,15,0,0,3,5,3,5,3,5
jFold,info.mikethomas.jfold.simulation,SimulationInfo,0,116,0,0,0,24,0,24,0,24
jFold,info.mikethomas.jfold.info,InfoCategory,38,0,0,0,6,0,4,0,4,0
jFold,info.mikethomas.jfold.info,InfoItem,263,0,0,0,34,0,5,0,5,0
jFold,info.mikethomas.jfold.options,Options,453,309,0,0,50,103,50,103,50,103
jFold,info.mikethomas.jfold.exceptions,SlotInfoException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,OptionsException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,UptimeException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,SimulationInfoException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,PpdException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,InfoException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,QueueInfoException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,NumSlotsException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,SlotOptionsException,12,0,0,0,5,0,3,0,3,0
jFold,info.mikethomas.jfold.exceptions,CommandException,15,0,0,0,6,0,4,0,4,0
jFold,info.mikethomas.jfold.unit,Unit,69,81,0,0,3,27,3,27,3,27
jFold,info.mikethomas.jfold.util,JacksonUtil,7,26,0,2,1,8,1,3,1,2
jFold,info.mikethomas.jfold.util,DateAdapter,11,24,0,0,1,5,1,3,1,3
jFold,info.mikethomas.jfold.util,ResponseType,0,21,0,0,0,4,0,1,0,1
jFold,info.mikethomas.jfold.util,PyonParser,113,0,4,0,32,0,5,0,3,0
jFold,info.mikethomas.jfold.util,Command,9,398,0,0,3,49,3,2,3,2
